description,category,person_names,dates,topics,effects,anatomical_terms
"Reported incident: Girl under 18 who is pregnant. Child reported by John Marks, Alicia Jordan Incident occurred on 31 October 2021, 07 February 2024 Topics involved include online child abuse, Female Genital Mutilation Effects reported: trauma Affected parts: reproductive organs.",Child Pregnancy,John Marks; Alicia Jordan,31 October 2021; 07 February 2024,online child abuse; Female Genital Mutilation,trauma,reproductive organs
"Case overview: Infliction or failure to prevent physical harm to a child. Child reported by Steven Kelly, Mrs. Diane Peters MD Incident occurred on 11 February 2025 Topics involved include drug and substance abuse, child labor.",Physical abuse/violence,Steven Kelly; Mrs. Diane Peters MD,11 February 2025,drug and substance abuse; child labor,,
"Reported incident: Right of a child to be registered at birth. Child reported by Jesse Perry, Jill Riggs Incident occurred on 04 December 2020, 21 May 2024 Topics involved include harmful cultural practices, child labor.",Registration,Jesse Perry; Jill Riggs,04 December 2020; 21 May 2024,harmful cultural practices; child labor,,
Case overview: Sexual acts between close relatives. Child reported by Steven Ramirez Incident occurred on 11 June 2022 Topics involved include online child abuse Effects reported: infection.,Incest,Steven Ramirez,11 June 2022,online child abuse,infection,
"Narrative: Child tested positive for HIV. Child reported by Richard Patterson, Victor Mckay Incident occurred on 04 November 2024, 21 August 2023 Affected parts: labia majora.",Child infected with HIV,Richard Patterson; Victor Mckay,04 November 2024; 21 August 2023,,,labia majora
"Reported incident: Care and control of a child by law or agreement. Child reported by Frank Abbott Incident occurred on 31 July 2023, 26 May 2021 Topics involved include emotional abuse Effects reported: infection Affected parts: clitoris.",Custody,Frank Abbott,31 July 2023; 26 May 2021,emotional abuse,infection,clitoris
"Summary: An attempt to penetrate a child. Child reported by Michael Moore, Amy Ramos Incident occurred on 23 March 2023 Effects reported: psychological problems, infection Affected parts: labia minora.",Attempted Defilement,Michael Moore; Amy Ramos,23 March 2023,,psychological problems; infection,labia minora
"Reported incident: Marriage or cohabitation with a child. Child reported by Michael Scott Incident occurred on 29 November 2024 Topics involved include child marriage, Female Genital Mutilation.",Child marriage,Michael Scott,29 November 2024,child marriage; Female Genital Mutilation,,
"Summary: Infliction or failure to prevent physical harm to a child. Child reported by Dakota Chavez Incident occurred on 29 June 2022, 05 August 2020 Topics involved include drug and substance abuse Effects reported: HIV Affected parts: reproductive organs.",Physical abuse/violence,Dakota Chavez,29 June 2022; 05 August 2020,drug and substance abuse,HIV,reproductive organs
"Summary: Child with impairments affecting daily life. Child reported by Ryan Calderon, Timothy Stone Incident occurred on 27 March 2024 Topics involved include drug and substance abuse Affected parts: labia majora.",Child with disability,Ryan Calderon; Timothy Stone,27 March 2024,drug and substance abuse,,labia majora
"Reported incident: Child engaged in use or trafficking of drugs. Child reported by Anthony Wright, Edward Mitchell Incident occurred on 01 April 2022, 01 October 2022 Effects reported: high rate of bleeding, anxiety Affected parts: clitoris.",Drug and substance abuse,Anthony Wright; Edward Mitchell,01 April 2022; 01 October 2022,,high rate of bleeding; anxiety,clitoris
"Narrative: Care and control of a child by law or agreement. Child reported by Tracy Sullivan Incident occurred on 12 November 2020 Topics involved include emotional abuse, online child abuse Effects reported: high rate of bleeding, HIV.",Custody,Tracy Sullivan,12 November 2020,emotional abuse; online child abuse,high rate of bleeding; HIV,
"Summary: Infliction or failure to prevent physical harm to a child. Child reported by Terry Lee, Kathy Collins Incident occurred on 23 February 2021, 23 May 2020 Effects reported: psychological problems, infection Affected parts: labia majora.",Physical abuse/violence,Terry Lee; Kathy Collins,23 February 2021; 23 May 2020,,psychological problems; infection,labia majora
Summary: Right of a child to be registered at birth. Child reported by Alyssa Martinez Incident occurred on 14 November 2024 Topics involved include drug and substance abuse Effects reported: high rate of bleeding.,Registration,Alyssa Martinez,14 November 2024,drug and substance abuse,high rate of bleeding,
"Case overview: A child deserted by the parent or caregiver or not contacted for 6+ months. Child reported by Amanda Ross Incident occurred on 04 February 2022 Topics involved include emotional abuse, child labor Effects reported: high rate of bleeding, trauma Affected parts: labia majora.",Abandoned,Amanda Ross,04 February 2022,emotional abuse; child labor,high rate of bleeding; trauma,labia majora
Summary: Non-medical cutting or injury of female genitals. Child reported by Steven Crawford Incident occurred on 19 December 2024 Topics involved include online child abuse Effects reported: anxiety Affected parts: reproductive organs.,Female Genital Mutilation (FGM),Steven Crawford,19 December 2024,online child abuse,anxiety,reproductive organs
"Case overview: Marriage or cohabitation with a child. Child reported by Monica Gonzales, Marissa Nicholson Incident occurred on 16 August 2022 Topics involved include drug and substance abuse Effects reported: HIV, psychological problems.",Child marriage,Monica Gonzales; Marissa Nicholson,16 August 2022,drug and substance abuse,HIV; psychological problems,
"Narrative: Girl under 18 who is pregnant. Child reported by Mr. Brandon Scott, Andrew Pacheco Incident occurred on 15 July 2022, 13 November 2020 Effects reported: infection Affected parts: labia majora.",Child Pregnancy,Mr. Brandon Scott; Andrew Pacheco,15 July 2022; 13 November 2020,,infection,labia majora
"Reported incident: Child engaged in use or trafficking of drugs. Child reported by Nancy Caldwell Incident occurred on 03 November 2021, 21 November 2023 Effects reported: high rate of bleeding Affected parts: genitals.",Drug and substance abuse,Nancy Caldwell,03 November 2021; 21 November 2023,,high rate of bleeding,genitals
"Summary: Exploitation of a child’s vulnerability or trust for sexual gain. Child reported by Theodore Jordan, Jonathan Bowman Incident occurred on 03 January 2021, 16 May 2024.",Sexual assault and Abuse,Theodore Jordan; Jonathan Bowman,03 January 2021; 16 May 2024,,,
"Summary: Care and control of a child by law or agreement. Child reported by Sharon Kennedy, Jonathan Robertson Incident occurred on 30 November 2023, 15 June 2023 Effects reported: HIV.",Custody,Sharon Kennedy; Jonathan Robertson,30 November 2023; 15 June 2023,,HIV,
"Summary: Non-medical cutting or injury of female genitals. Child reported by Gabrielle Woodard, Melissa Scott Incident occurred on 24 October 2021 Effects reported: high rate of bleeding, anxiety.",Female Genital Mutilation (FGM),Gabrielle Woodard; Melissa Scott,24 October 2021,,high rate of bleeding; anxiety,
"Summary: Child with impairments affecting daily life. Child reported by Andrea Taylor Incident occurred on 11 June 2021, 29 May 2023 Effects reported: anxiety, HIV.",Child with disability,Andrea Taylor,11 June 2021; 29 May 2023,,anxiety; HIV,
"Narrative: Penetration act with a child including sodomy. Child reported by Christopher Boone Incident occurred on 20 August 2021 Topics involved include harmful cultural practices, online child abuse Effects reported: psychological problems.",Defilement,Christopher Boone,20 August 2021,harmful cultural practices; online child abuse,psychological problems,
"Case overview: A child living, begging, or working on the street. Child reported by Kimberly Montoya, Adam Thompson Incident occurred on 06 February 2023 Topics involved include drug and substance abuse, emotional abuse.",Children on the Street,Kimberly Montoya; Adam Thompson,06 February 2023,drug and substance abuse; emotional abuse,,
"Case overview: Child tested positive for HIV. Child reported by Stephen Harrison Incident occurred on 10 August 2024, 31 May 2023 Topics involved include Female Genital Mutilation Affected parts: genitals.",Child infected with HIV,Stephen Harrison,10 August 2024; 31 May 2023,Female Genital Mutilation,,genitals
"Case overview: A child under 14 unlawfully or forcibly taken or detained. Child reported by Brandon Stone, John Maldonado MD Incident occurred on 01 May 2021, 13 October 2021 Effects reported: anxiety, HIV.",Abduction,Brandon Stone; John Maldonado MD,01 May 2021; 13 October 2021,,anxiety; HIV,
"Narrative: Sexual acts between close relatives. Child reported by Leslie Murphy Incident occurred on 09 February 2024, 17 December 2021 Topics involved include child labor Effects reported: anxiety Affected parts: labia majora.",Incest,Leslie Murphy,09 February 2024; 17 December 2021,child labor,anxiety,labia majora
"Summary: A child living, begging, or working on the street. Child reported by Brian Santiago Incident occurred on 12 March 2023 Topics involved include harmful cultural practices.",Children on the Street,Brian Santiago,12 March 2023,harmful cultural practices,,
Summary: Child engaged in use or trafficking of drugs. Child reported by Richard Baxter Incident occurred on 14 July 2023 Topics involved include drug and substance abuse Effects reported: anxiety.,Drug and substance abuse,Richard Baxter,14 July 2023,drug and substance abuse,anxiety,
"Case overview: Penetration act with a child including sodomy. Child reported by Ralph White Incident occurred on 25 June 2024 Effects reported: psychological problems, trauma.",Defilement,Ralph White,25 June 2024,,psychological problems; trauma,
"Summary: Marriage or cohabitation with a child. Child reported by Ashley Horn Incident occurred on 05 August 2024 Topics involved include emotional abuse, harmful cultural practices Effects reported: trauma, HIV Affected parts: labia majora.",Child marriage,Ashley Horn,05 August 2024,emotional abuse; harmful cultural practices,trauma; HIV,labia majora
